제목,저자,역자,출간일,페이지,정가,할인가격,마일리지
데이터 과학을 위한 통계(2판),"피터 브루스 , 앤드루 브루스 , 피터 게데크 ",역자 없음, 이준용 , 2021-05-07," 34,000원"," 30,600원"," 1,700점 "
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",강남석 ,역자 없음, 2021-05-07, 492 쪽," 28,000원"," 25,200원"," 1,400점 "
부동산 세금 사용설명서,"김성일 , 우승일(감리) ",역자 없음, 2021-05-03, 208 쪽," 12,000원"," 10,800원", 600점 
소문난 명강의 : 김상형의 SQL 정복,김상형 ,역자 없음, 2021-05-01, 708 쪽," 39,000원"," 35,100원"," 1,950점 "
이벤트 기반 마이크로서비스 구축,애덤 벨메어 , 이일웅 , 2021-05-01, 380 쪽," 28,000원"," 25,200원"," 1,400점 "
파이썬 비동기 라이브러리 Asyncio,케일럽 해팅 , 동동구 , 2021-05-01, 176 쪽," 18,000원"," 16,200원", 900점 
한 권으로 끝내는 Node & Express(2판),이선 브라운 ,역자 없음, 한선용 , 2021-05-01," 28,000원"," 25,200원"," 1,400점 "
나는 독이 되는 관계를 끝내기로 했다,마리옹 블리크 , 조민영 , 2021-04-30, 332 쪽," 15,500원"," 13,950원", 775점 
맛있는 디자인 어도비 XD CC,임선주 ,역자 없음, 2021-04-30, 364 쪽," 24,000원"," 21,600원"," 1,200점 "
엑셀 데이터 분석 바이블,최준선 ,역자 없음, 2021-04-30, 712 쪽," 38,000원"," 34,200원"," 1,900점 "
읽는 순간 웃음이 팡! 낱말 퍼즐의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",역자 없음, 2021-04-30, 120 쪽," 9,800원"," 8,820원", 490점 
읽는 순간 웃음이 팡! 속담의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",역자 없음, 2021-04-30, 152 쪽," 11,000원"," 9,900원", 550점 
읽는 순간 웃음이 팡! 수수께끼의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",역자 없음, 2021-04-30, 152 쪽," 11,000원"," 9,900원", 550점 
쿼커스 쿡북,"알렉스 소토 부에노 , 제이슨 포터 ", 유동환 , 2021-04-28, 460 쪽," 35,000원"," 31,500원"," 1,750점 "
1년 후 내가 이 세상에 없다면,시미즈 켄 , 박소영 , 2021-04-23, 200 쪽," 13,800원"," 12,420원", 690점 
중세 1 : 만화로 배우는 서양사,"플로리앙 마젤 , 뱅상 소렐(그림) ", 이하임 , 2021-04-23, 168 쪽," 18,500원"," 16,650원", 925점 
중세 2 : 만화로 배우는 서양사,"파니 마들린 , 다니엘 카사나브(그림) ", 김수영 , 2021-04-23, 168 쪽," 18,500원"," 16,650원", 925점 
누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미 ", 권기태 , 2021-04-09, 388 쪽," 19,800원"," 19,800원", 594점 
실전 시계열 분석,에일린 닐슨 , 박찬성 , 2021-04-09, 568 쪽," 38,000원"," 34,200원"," 1,900점 "
